Latitude,Longitude
36.9696769,-121.9644636
36.9696996,-121.964444
36.97287,-121.9648274
36.9839647,-121.9453573
36.9329325,-121.8157239
36.9183014,-121.7821749
36.9161762,-121.7746789
36.9163594,-121.7711728
36.9114946,-121.7584774
36.9107258,-121.7585293
36.9109374,-121.758094
36.9106507,-121.7584836
36.9113917,-121.7580741
36.9107894,-121.7585128
36.9106395,-121.75833
36.909013,-121.7620211
36.8997799,-121.7657646
36.9169492,-121.7883785
36.9356746,-121.8237857
36.9548666,-121.8563591
36.9752821,-121.8873792
36.9823906,-121.9203481
36.9841326,-121.9412057
36.9829631,-121.9616246
36.9819706,-121.9645689
36.9811152,-121.9699982
36.9794769,-121.9708757
36.9810913,-121.96504
36.9787257,-121.9701329
36.977876,-121.9703987
36.9748069,-121.9692104
36.974202,-121.9687658
36.9745135,-121.967527
36.9787029,-121.9649969
36.9809649,-121.9648159
36.9834724,-121.9296342
36.9701932,-121.8731161
36.9332914,-121.8171
36.9187191,-121.7849323
36.9168896,-121.7772716
36.9156594,-121.7748195
36.9152818,-121.7647302
36.9112224,-121.7587299
36.9110435,-121.7584205
36.9108726,-121.7581191
36.9107069,-121.7584265
36.911054,-121.7584692
36.9104681,-121.7585667
36.9110453,-121.7582344
36.9109014,-121.7583938
36.9106378,-121.7584369
36.9104873,-121.7586297
36.9111953,-121.7582397
36.9105384,-121.7585877
36.9158673,-121.768459
36.9169955,-121.7757337
36.9106695,-121.7584832
36.910269,-121.7590987
36.9112347,-121.7612869
36.9159153,-121.7675085
36.9178148,-121.7783698
36.9166229,-121.7722529
36.9151728,-121.7643404
36.9113,-121.7580115
36.9108368,-121.7583056
36.9107472,-121.7584047
36.910907,-121.7582237
36.9109177,-121.7583206
36.9108408,-121.7583174
36.911045,-121.7583182
36.9105635,-121.7600401
36.9006574,-121.7645956
36.8994695,-121.7771367
36.950071,-121.8513819
36.9731488,-121.8802683
36.9884047,-122.0048907
36.9809542,-122.0291
36.975791,-122.0261458
36.9747951,-122.026151
36.973962,-122.0261432
36.9727096,-122.0257629
36.9719482,-122.0256246
36.9749361,-122.0263587
36.9752095,-122.0254834
36.981827,-122.0293476
36.9888395,-122.0178399
36.9848146,-121.9776873
36.9857806,-121.9642201
36.9859275,-121.963541
36.9859935,-121.9635038
36.985968,-121.9634968
36.9859316,-121.963549
36.9861861,-121.9635072
36.9862768,-121.963556
36.9863006,-121.9634377
36.9863709,-121.9634741
36.9858693,-121.9641535
36.9846326,-121.9650407
36.9838529,-121.9370726
36.9748818,-121.8970094
36.9589636,-121.8611638
36.9372557,-121.8304227
36.9171658,-121.7757051
36.9146613,-121.761228
36.9107559,-121.7583091
36.9105764,-121.758558
36.9106332,-121.7585164
36.9112855,-121.7581739
36.9111046,-121.7582995
36.9111605,-121.7583402
36.910708,-121.7581661
36.9107452,-121.7585765
36.9105599,-121.759828
36.9061455,-121.7662568
36.8837742,-121.7965218
36.9022722,-121.8243811
36.9379648,-121.8584634
36.9507949,-121.8674492
36.9584183,-121.8839517
36.9695851,-121.8951387
36.9717844,-121.9012521
36.9745614,-121.9096255
36.9833186,-121.9369913
36.9728463,-121.9507869
36.9680297,-121.9624575
36.9694623,-121.9644592
36.9694074,-121.9644582
36.9694111,-121.9645108
36.9703228,-121.9649055
36.9733876,-121.9667954
36.9735786,-121.9666537
36.9734619,-121.9666645
36.973411,-121.9667728
36.9734288,-121.966738
36.9733906,-121.9665854
36.9733614,-121.9666358
36.9734428,-121.9667046
36.9735693,-121.9667606
36.973504,-121.9669743
36.9734102,-121.9666933
36.9765459,-121.9648948
36.9818923,-121.9644508
36.9871709,-121.9864509
36.9861302,-122.0248462
36.9842403,-122.0302914
36.9710185,-122.0364003
36.962908,-122.0435639
36.9590752,-122.0456308
36.9595194,-122.0459411
36.9623964,-122.0441562
36.9630741,-122.0432512
36.9679485,-122.0426085
36.9999822,-122.0623429
37.0008203,-122.0624729
37.0007812,-122.0629563
37.0000822,-122.0622037
36.9979148,-122.0552457
36.9856601,-122.0536314
36.9717924,-122.0482692
36.9653475,-122.0384486
36.9640553,-122.0398951
36.961675,-122.041384
36.9603332,-122.0433464
36.9591811,-122.044705
36.962826,-122.043568
36.9691477,-122.0375439
36.9843647,-122.0296085
36.9881131,-121.9978432
36.9857012,-121.9820486
36.9810818,-121.9658434
36.9757495,-121.9650215
36.9694789,-121.9649524
36.9734792,-121.9648834
36.9799736,-121.9649305
36.9856194,-121.9642636
36.9861672,-121.9634893
36.9856455,-121.9642204
36.98316,-121.9647391
36.9838485,-121.9335265
36.97271,-121.8798366
36.9307355,-121.8086044
36.9155899,-121.7663348
36.9108714,-121.7589448
36.9113835,-121.758081
36.910885,-121.7584533
36.9109601,-121.7584084
36.9107204,-121.7583538
36.9106391,-121.7584321
36.9109399,-121.7583621
36.9110898,-121.7584609
36.9109749,-121.7583798
36.9101483,-121.7592646
36.9107851,-121.7585566
36.9074247,-121.7611438
36.8954363,-121.7739911
36.9259764,-121.7990834
36.9402706,-121.8365945
36.9639393,-121.865802
36.9757839,-121.9059589
36.9842209,-121.9464627
36.9837299,-121.9644159
36.9775767,-121.9650542
36.9706167,-121.9650274
36.9634626,-121.9669632
36.9632518,-121.9694491
36.963454,-121.9709269
36.9629251,-121.9889698
36.9679764,-122.0011679
36.9675581,-122.0130925
36.9693679,-122.0238858
36.9681008,-122.0429825
36.9710027,-122.0477912
36.9782819,-122.0574039
36.9971661,-122.0637891
37.0005452,-122.0624259
37.0007821,-122.062906
37.0007784,-122.0624636
37.000175,-122.0619182
36.9998229,-122.0589607
36.9866171,-122.054254
36.978507,-122.0542211
36.9653273,-122.041308
36.9629994,-122.0432477
36.9618462,-122.0444142
36.9627813,-122.0436532
36.9865393,-122.0322759
36.9864236,-122.0323116
36.9857792,-122.0320648
36.9854583,-122.0300744
36.9883384,-122.008746
36.9881401,-121.9983415
36.9873026,-121.9877314
36.984974,-121.9785299
36.9844036,-121.9761668
36.9828109,-121.967432
36.9834249,-121.9550639
36.9823457,-121.9220587
36.9753581,-121.9027125
36.9716246,-121.8765217
36.9102027,-121.7586186
36.9109093,-121.7583137
36.9109535,-121.7581819
36.9104805,-121.7583878
36.9110904,-121.7590821
36.905131,-121.7677401
36.8937767,-121.7830764
36.8877607,-121.8042364
36.9056901,-121.8270676
36.9229202,-121.8412463
36.9347655,-121.8597517
36.9486448,-121.8633469
36.9518221,-121.871173
36.9587028,-121.8842555
36.971191,-121.8964006
36.9729924,-121.9031986
36.974594,-121.9042187
36.9766289,-121.91205
36.983555,-121.9313117
36.9769394,-121.9447934
36.9725559,-121.9528966
36.9680615,-121.9613592
36.9696295,-121.9646096
36.9706572,-121.9648657
36.9826472,-121.9619241
36.982659,-121.9233417
36.974776,-121.8856672
36.9494302,-121.8510682
36.9315363,-121.8112578
36.91842,-121.7830735
36.9162956,-121.7701007
36.9111568,-121.7591092
36.9110547,-121.7579341
36.9110668,-121.7584152
36.9108259,-121.7582148
36.9109891,-121.7582692
36.9108423,-121.7583481
36.910804,-121.7583683
36.9103997,-121.7585548
36.9095726,-121.7612062
36.9056378,-121.7584834
36.8953152,-121.7734991
36.9227024,-121.7937272
36.9381077,-121.8312642
36.9647122,-121.8665568
36.9777283,-121.9096039
36.9839462,-121.9497336
36.9863324,-121.9828848
36.9888282,-122.0228854
36.9845529,-122.0296218
36.9680516,-122.0384365
36.9671639,-122.0396234
36.9626741,-122.0437667
36.9623309,-122.043542
36.9637794,-122.042996
36.9648248,-122.0420398
36.9663287,-122.0407134
36.9686886,-122.0448672
37.0008989,-122.0629868
37.0008026,-122.0623157
36.9998939,-122.0621255
36.9994022,-122.0644027
36.9896305,-122.0675317
36.9775259,-122.0583644
36.9656935,-122.0565129
36.9598448,-122.0582659
36.9598396,-122.0572504
36.9556876,-122.0481492
36.957528,-122.0428768
36.958505,-122.0422926
36.960351,-122.042473
36.9616364,-122.042115
36.9625189,-122.043623
36.9682153,-122.0381792
36.9806809,-122.0322163
36.9854466,-122.0259661
36.9881286,-121.998416
36.9879645,-121.993674
36.987358,-121.9882649
36.9869371,-121.9857076
36.9856207,-121.9806302
36.9838968,-121.9738641
36.9798832,-121.9649997
36.9696127,-121.9645731
36.9730894,-121.964887
36.9793228,-121.9648812
36.9827418,-121.9613964
36.9839373,-121.9442142
36.9782626,-121.9110723
36.9686035,-121.8709973
36.9409237,-121.8390055
36.9233538,-121.7952852
36.9166992,-121.7730174
36.9126422,-121.7594214
36.910812,-121.7585768
36.9107824,-121.7583627
36.9108272,-121.758404
36.9107282,-121.7577245
36.9110031,-121.7584549
36.9103965,-121.7590549
36.9105088,-121.7599962
36.9069585,-121.7604635
36.8993224,-121.7770927
36.9294016,-121.804856
36.9427396,-121.8410521
36.9463366,-121.8463612
36.949488,-121.8505772
